"Type","Country","Region","Location","Name","Latitude","Longitude","Year Deployment","Year Modification","Bottom Depth [m]","Reef Edge [m]","Min. Dist. From Coastline [km]","Surrounding Seabed","Meadows","Reef Typology","Structure Wreck","Material","Arrangement Modules","Origin Reef","Total Area [sqm]","Total Volume [cum]","Oasis [Nr.]","Distance Between Oasis [m]","Oasi Dimension[sqm]","Type Of Structures","Structures [Nr.]","Structures Dimension [m]","Dist. Between Structures [m]","Modules Shape","Modules [Nr.]","Dist Between Modules [m]","Dimension LWH [m]","Weight Or Displacement [tons]","Experimental/Professional","Scope","Exploitation","Possible Exploitation","Observations","Biocenosis","Alien Species","Protected Species","Protected area","Management Program","Concession Area","Surveillance Service","Monitoring Program","Available data","Available literature (Scientific or Grey)"
"Artificial reef","Italy","Apulia","Zapponeta - S. Margherita di Savoia","Zaponeta - S. Margherita di Savoia",41.459278,16.073181,2008,,"10-16 ",,6,"Sand","No","Specifically designed modules",,"Concrete",,,22000000,,1,,1500000,,,,,"cubes , tubes",,,,,"Experimental","Polifunctional",,,,,,,,"no","no","no","no",,
"Artificial reef","Italy","Friuli Venezia Giulia","Tenuta Primero","Zona Marina Protetta del Primero",45.671,13.507,2000,,10,,4,"Sand","Yes, algae","Specifically designed modules",,"Concrete, Polyethylene","Geometrically assembled",,,,,,1050,"empty concrete parallelepiped  with  concrete tubes, longlines","concrete structures (80)","concrete structures (2/3/4)",,"concrete empty cubes, concrete tubes",,,,,"Experimental","Finfish enhancement, Habitat restoration","No","Diving/Snorkeling, Professional fishery, Recreational fishery",,,,,,"no","yes","no","yes","Benthic community, Fish community","Orel G., de Walderstein W., Zamboni R., Grim F.  2000. Realizzazione della Zona Marina Protetta del Primero mediante l'impiego di Strutture Sommerse MultiLivello. 2° Convegno Nazionale delle Scienze del Mare. Genova, ottobre 2000.
Le BA esistenti in Veneto. Manuale per il monitoraggio delle barriere artificiali sommerse. 2006. INTERREG III A – Transfrontaliero Adriatico. Tavolo blu Adriatico per la gestione sostenibile delle attività di pesca e delle risorse alieutiche dell'Adriatico - ADRIBLU p: 64-65.
Orel G., de Walderstein W., Landri P. Monitoraggio quinquennale della Zona Marina Protetta del Primero.  3° stato avanzamento lavori.
"
"Artificial reef","Italy","Abruzzo","Martinsicuro - Alba Adriatica","Martinsicuro - Alba Adriatica",42.851414,13.959078,2005,,"14-18",,5.55,"Sand, Mud","No","Specifically designed modules",,"Concrete, Rocks, Steel/Iron","Geometrically assembled",,6000000,,,,,"cones (formed by cubes and rocks), anti-trawl structures (cubes with metal structures)","cones (18)","cones (h 3, larger base diameter 10, smaller base diameter 3)",,"cubes","cubes (516)",,"cubes (1/1/1)",,"Experimental","Finfish enhancement, Habitat protection, Mariculture","No","Diving/Snorkeling, Mariculture, Professional fishery, Recreational fishery, Restocking with introduction of juveniles of precious species",,,,,,"no","no","no","yes","Fish community, Water column","Monitoraggio biologico sulle barriere artificiali installate in prossimità dei comuni di Martinsicuro e Alba Adriatica. 1° anno di monitoraggio - anno 2007. 2007. Istituto Zooprofilattico Sperimentale dell’Abruzzo e del Molise “G. Caporale” & Provincia di Teramo. Doc.U.P. Pesca - 2000-2006 Mis. 3.1- Provincia di Teramo - Cod. Progetto 01/BA/04/AB ""PROTEZIONE E SVILUPPO DELLE RISORSE ACQUATICHE"" 44 pp
Monitoraggio biologico sulle barriere artificiali installate in prossimità dei comuni di Martinsicuro e Alba Adriatica. 2° anno di monitoraggio - anno 2008. 2008. Istituto Zooprofilattico Sperimentale dell’Abruzzo e del Molise “G. Caporale” & Provincia di Teramo. Doc.U.P. Pesca - 2000-2006 Mis. 3.1- Provincia di Teramo - Cod. Progetto 01/BA/04/AB ""PROTEZIONE E SVILUPPO DELLE RISORSE ACQUATICHE"" 63 pp
Monitoraggio biologico sulle barriere artificiali installate in prossimità dei comuni di Martinsicuro e Alba Adriatica. 3° anno di monitoraggio - anno 2009. 2009. Istituto Zooprofilattico Sperimentale dell’Abruzzo e del Molise “G. Caporale” & Provincia di Teramo. Doc.U.P. Pesca - 2000-2006 Mis. 3.1- Provincia di Teramo - Cod. Progetto 01/BA/04/AB ""PROTEZIONE E SVILUPPO DELLE RISORSE ACQUATICHE"" 51 pp
Monitoraggio biologico sulle barriere artificiali installate in prossimità dei comuni di Martinsicuro e Alba Adriatica. 4° anno di monitoraggio - anno 2010. 2010. Istituto Zooprofilattico Sperimentale dell’Abruzzo e del Molise “G. Caporale” & Provincia di Teramo. Doc.U.P. Pesca - 2000-2006 Mis. 3.1- Provincia di Teramo - Cod. Progetto 01/BA/04/AB ""PROTEZIONE E SVILUPPO DELLE RISORSE ACQUATICHE"" 62 pp
Monitoraggio biologico sulle barriere artificiali installate in prossimità dei comuni di Martinsicuro e Alba Adriatica. 5° anno di monitoraggio - anno 2011. 2011. Istituto Zooprofilattico Sperimentale dell’Abruzzo e del Molise “G. Caporale” & Provincia di Teramo. Doc.U.P. Pesca - 2000-2006 Mis. 3.1- Provincia di Teramo - Cod. Progetto 01/BA/04/AB ""PROTEZIONE E SVILUPPO DELLE RISORSE ACQUATICHE"" 61 pp
Monitoraggio biologico sulle barriere artificiali installate in prossimità dei comuni di Martinsicuro e Alba Adriatica. 6° anno di monitoraggio - anno 2012. 2012. Istituto Zooprofilattico Sperimentale dell’Abruzzo e del Molise “G. Caporale” & Provincia di Teramo. Doc.U.P. Pesca - 2000-2006 Mis. 3.1- Provincia di Teramo - Cod. Progetto 01/BA/04/AB ""PROTEZIONE E SVILUPPO DELLE RISORSE ACQUATICHE"" 65 pp
Monitoraggio biologico sulle barriere artificiali installate in prossimità dei comuni di Martinsicuro e Alba Adriatica. 8° anno di monitoraggio - anno 2015. 2015. Istituto Zooprofilattico Sperimentale dell’Abruzzo e del Molise “G. Caporale” & Provincia di Teramo. Doc.U.P. Pesca - 2000-2006 Mis. 3.1- Provincia di Teramo - Cod. Progetto 01/BA/04/AB ""PROTEZIONE E SVILUPPO DELLE RISORSE ACQUATICHE"" 64 pp"
"Artificial reef","Italy","Abruzzo","Torre del Cerrano","Torre del Cerrano",42.61,14.143,2005,,"14-18",,5.55,"Sand, Mud","No","Specifically designed modules",,"Concrete","Geometrically assembled",,4000000,,,,,"cones (formed by rocks), Pyramids (formed by concrete cubes)","cones (18) ","cones (h 3, larger base Φ 10, smaller base Φ 3)",,"concrete cubes some of them with steel bars","concrete cubes (516)",,"concrete cubes (1/1/1)",,"Experimental","Finfish enhancement, Habitat protection, Mariculture","No","Diving/Snorkeling, Mariculture, Professional fishery, Recreational fishery, Restocking with introduction of juveniles of precious species",,,,,,"no","no","no","yes","Benthic community, Fish community, Water column","Monitoraggio biologico sulle barriere artificiali installate in prossimità della Torre del Cerrano. 1° anno di monitoraggio - anno 2005. 2005. Istituto Zooprofilattico Sperimentale dell’Abruzzo e del Molise “G. Caporale” & Provincia di Teramo. Doc.U.P. Pesca - 2000-2006 Mis. 3.1- Provincia di Teramo - Cod. Progetto 04/BA/02/AB. 49
 pp
Monitoraggio biologico sulle barriere artificiali installate in prossimità della Torre del Cerrano. 2° anno di monitoraggio - anno 2006. 2006. Istituto Zooprofilattico Sperimentale dell’Abruzzo e del Molise “G. Caporale” & Provincia di Teramo. Doc.U.P. Pesca - 2000-2006 Mis. 3.1- Provincia di Teramo - Cod. Progetto 04/BA/02/AB. 59 pp
Monitoraggio biologico sulle barriere artificiali installate in prossimità della Torre del Cerrano. 3° anno di monitoraggio - anno 2007. 2007. Istituto Zooprofilattico Sperimentale dell’Abruzzo e del Molise “G. Caporale” & Provincia di Teramo. Doc.U.P. Pesca - 2000-2006 Mis. 3.1- Provincia di Teramo - Cod. Progetto 04/BA/02/AB. 51 pp
Monitoraggio biologico sulle barriere artificiali installate in prossimità della Torre del Cerrano. 4° anno di 
monitoraggio - anno 2008. 2008. Istituto Zooprofilattico Sperimentale dell’Abruzzo e del Molise “G. Caporale” & Provincia di Teramo. Doc.U.P. Pesca - 2000-2006 Mis. 3.1- Provincia di Teramo - Cod. Progetto 04/BA/02/AB. 69 pp
Monitoraggio biologico sulle barriere artificiali installate in prossimità della Torre del Cerrano. 5° anno di monitoraggio - anno 2009. 2009. Istituto Zooprofilattico Sperimentale dell’Abruzzo e del Molise “G. Caporale” & Provincia di Teramo. Doc.U.P. Pesca - 2000-2006 Mis. 3.1- Provincia di Teramo - Cod. Progetto 04/BA/02/AB. 52 pp
Monitoraggio biologico sulle barriere artificiali installate in prossimità della Torre del Cerrano. 6° anno di monitoraggio - anno 2011. 2011. Istituto Zooprofilattico Sperimentale dell’Abruzzo e del Molise “G. Caporale” & Provincia di Teramo. Doc.U.P. Pesca - 2000-2006 Mis. 3.1- Provincia di Teramo - Cod. Progetto 04/BA/02/AB. 60 pp
Monitoraggio biologico sulle barriere artificiali installate in prossimità della Torre del Cerrano. 7° anno di monitoraggio - anno 2012. 2012. Istituto Zooprofilattico Sperimentale dell’Abruzzo e del Molise “G. Caporale” & Provincia di Teramo. Doc.U.P. Pesca - 2000-2006 Mis. 3.1- Provincia di Teramo - Cod. Progetto 04/BA/02/AB. 73 pp
Monitoraggio biologico sulle barriere artificiali installate in prossimità della Torre del Cerrano. 8° anno di monitoraggio - anno 2014. 2014. Istituto Zooprofilattico Sperimentale dell’Abruzzo e del Molise “G. Caporale” & Provincia di Teramo. Doc.U.P. Pesca - 2000-2006 Mis. 3.1- Provincia di Teramo - Cod. Progetto 04/BA/02/AB. 63 pp
Monitoraggio biologico sulle barriere artificiali installate in prossimità della Torre del Cerrano. 9° anno di monitoraggio - anno 2015. 2015. Istituto Zooprofilattico Sperimentale dell’Abruzzo e del Molise “G. Caporale” & Provincia di Teramo. Doc.U.P. Pesca - 2000-2006 Mis. 3.1- Provincia di Teramo - Cod. Progetto 04/BA/02/AB. 58 pp
Monitoring of ichthyic fauna in artificial reefs along the Adriatic coast of the Abruzzi Region of Italy. 2010. Giansante C., Fatigati M., Ciarrocchi F., Milillo G.S., Onori L., Ferri N. Veterinaria Italiana 46(3), 365-374"
"Artificial reef","Italy","Friuli Venezia Giulia","Lignano Sabbiadoro","Diffusore di Lignano",45.62763,13.19082,1991,2005,16,,6,"Mud","No","Specifically designed modules",,"Concrete, Rocks, Polyethylene","Geometrically assembled",,100000,,,,1000000,"Ecomare pyramid (formed by 18 pipes), FAD line (formed by 6 FADs ), Tecnoreef pyramids","Ecomare pyramids (4), FAD lines (4),  Tecnoreef pyramids (30)","Ecomare pyramid pipe: (7/7//2.7) , Tecnoreef pyramid (3.4 m2 / h 2.2)",," rocks, nets, pipe",,,"rocks (1/1.5/1), FAD net panel (8/1/3), pipe (Ø 1 / h 7)",,"Experimental","Finfish enhancement, Habitat restoration","No","Recreational fishery, Research",,,,,,"no","yes","no","ARPA FVG","Benthic community, Fish community, Geophysical map, Sediments, Water column","Le barriere artificiali ADRI.BLU in Friuli Venezia Giulia. AT 4 -Azioni pilota finalizzate all'incremento della sostenibilità delle attività di pesca. Gestione sostenibile delle attività di pesca e delle risorse alieutiche dell'Adriatico. 2007. Progetto ADRIBLU. INTERREG III A – Alto Adriatico. p: 95-105.
Mattassi G., Bettoso N., Rossin P. 2008. Gestione sostenibile delle risorse alieutiche marine e lagunari. Sistema georeferenziato GIS e monitoraggio delle barriere artificiali sommerse. Rapporto 2007. Rapporto per l'Agenzia Regionale per la Protezione dell'Ambiente del Friuli Venezia Giulia. 46 pp."
"Artificial reef","Italy","Abruzzo","Fossacesia","Fossacesia",42.2916833,14.5413833333333,2006,,"16-20",,5.55,"Sand, Mud","No","Specifically designed modules",,"Concrete, Rocks, Steel/Iron","Geometrically assembled, Single modules",,5000000,,"small oasis of rocks pyramids (2), mixed oasis (44)",,"small oasis of rocks pyramids (225), mixed oasis (10000)","parallelepiped (formed by 4 concrete cubes), Trunked pyramid (formed by 5 tubes), Tecnoreef pyramid (formed by plates), modular structures (formed by rocks)","parallelepiped (100), Trunked pyramid (90), tecnoreef Φ 0.8 (16), tecnoreef Φ 1.2 (16), pyramid of rocks (46)","parallelepiped (h 1.6), Trunked pyramid (h 1.5), modular structures (10/5/3.5), large pyramid of rocks (15/15/6.5), Tecnoreef (Φ 0.80 - 1.20)","minimum 50","concrete cubes, cubes with iron bars, tube, plates","cubes with iron bars (240)",,"concrete cubes (0.6/0.6/0.6), cubes (1/1/2) and iron bars (1.5-2 length, 0.03 Φ), tubes (0.4 length, 1 Φ)",,"Experimental","Finfish enhancement, Habitat protection","No",,,,,,,"no","no","no","yes","Benthic community, Fish community, Heavy metals, PAH in mussels, Planktonic communities, Sediments, Water column","Progetto per la realizzazione di un’area da destinare allo sviluppo e protezione delle risorse acquatiche in provincia di Chieti prospiciente il Comune di Rocca San Giovanni - Monitoraggio delle risorse eco-biologiche ed alieutiche. 1° anno di monitoraggio - anno 2006. 2006. Agenzia Regionale per la Tutela dell’Ambiente - ARTA Abruzzo. Cod. Progetto 02/BA/04/AB - ""PROTEZIONE E SVILUPPO DELLE RISORSE ACQUATICHE"". 96 pp
Progetto per la realizzazione di un’area da destinare allo sviluppo e protezione delle risorse acquatiche in provincia di Chieti prospiciente il Comune di Rocca San Giovanni - Monitoraggio delle risorse eco-biologiche ed alieutiche. 2° anno di monitoraggio - anno 2007. 2007. Agenzia Regionale per la Tutela dell’Ambiente - ARTA Abruzzo. Cod. Progetto 02/BA/04/AB - ""PROTEZIONE E SVILUPPO DELLE RISORSE ACQUATICHE"". 69 pp
Progetto per la realizzazione di un’area da destinare allo sviluppo e protezione delle risorse acquatiche in provincia di Chieti prospiciente il Comune di Rocca San Giovanni - Monitoraggio delle risorse eco-biologiche ed alieutiche. 3° anno di monitoraggio - anno 2008. 2008. Agenzia Regionale per la Tutela dell’Ambiente - ARTA Abruzzo. Cod. Progetto 02/BA/04/AB - ""PROTEZIONE E SVILUPPO DELLE RISORSE ACQUATICHE"". 51 pp
Progetto per la realizzazione di un’area da destinare allo sviluppo e protezione delle risorse acquatiche in provincia di Chieti prospiciente il Comune di Rocca San Giovanni - Monitoraggio delle risorse eco-biologiche ed alieutiche. 4° anno di monitoraggio - anno 2009. 2009. Agenzia Regionale per la Tutela dell’Ambiente - ARTA Abruzzo. Cod. Progetto 02/BA/04/AB - ""PROTEZIONE E SVILUPPO DELLE RISORSE ACQUATICHE"". 24 pp
Progetto per la realizzazione di un’area da destinare allo sviluppo e protezione delle risorse acquatiche in provincia di Chieti prospiciente il Comune di Rocca San Giovanni - Monitoraggio delle risorse eco-biologiche ed alieutiche. 5° anno di monitoraggio - anno 2010. 2010. Agenzia Regionale per la Tutela dell’Ambiente - ARTA Abruzzo. Cod. Progetto 02/BA/04/AB - ""PROTEZIONE E SVILUPPO DELLE RISORSE ACQUATICHE"". 29 pp
Progetto per la realizzazione di un’area da destinare allo sviluppo e protezione delle risorse acquatiche in provincia di Chieti prospiciente il Comune di Rocca San Giovanni - Monitoraggio delle risorse eco-biologiche ed alieutiche. 6° anno di monitoraggio - anno 2011. 2011. Agenzia Regionale per la Tutela dell’Ambiente - ARTA Abruzzo. Cod. Progetto 02/BA/04/AB - ""PROTEZIONE E SVILUPPO DELLE RISORSE ACQUATICHE"". 24 pp
Progetto per la realizzazione di un’area da destinare allo sviluppo e protezione delle risorse acquatiche in provincia di Chieti prospiciente il Comune di Rocca San Giovanni - Monitoraggio delle risorse eco-biologiche ed alieutiche. 7° anno di monitoraggio - anno 2012. 2012. Agenzia Regionale per la Tutela dell’Ambiente - ARTA Abruzzo. Cod. Progetto 02/BA/04/AB - ""PROTEZIONE E SVILUPPO DELLE RISORSE ACQUATICHE"". 30 pp
Arbuatti A. 2015. Studio qualitativo della fauna subacquea associata alle barriere artificiali sommerse nella costa dei Trabocchi (CH) mediante underwater visual census. 1° congresso internazionale SIVAE, congresso SCIVAC
Arbuatti A. 2015. Studio qualitativo mediante UVC della fauna acquatica associata alle barriere artificiali sommerse nella costa dei Trabocchi (CH). Atti del convegno La medicina Veterinaria nell’Abruzzo wild. Teramo,19-20 marzo 2015"
"Artificial reef","Italy","Abruzzo","Ortona - San Vito Chietino","Ortona - San Vito Chietino",42.3357833,14.5213,2005,,"15-20",,5.55,"Mud","No","Specifically designed modules",,"Concrete, Rocks, Steel/Iron","Geometrically assembled",,5000000,,10,,,"parallelepiped (formed by 4 concrete cubes), Trunked pyramid (formed by 5 tubes), Tecnoreef pyramid (formed by plates), modular structures (formed by rocks)","parallelepiped (60), Trunked pyramid (90), tecnoreef Φ 0.8 (10), tecnoreef Φ 1.2 (12), modular structures (52)","parallelepiped (h 1.6), Trunked pyramid (h 1.5), modular structures (10/5/3.5), large pyramid of rocks (15/15/6.5), Tecnoreef (Φ 0.80 - 1.20)","minimum 50","concrete cubes, cubes with steel bars, tube, plates","cubes with iron bars (196)",,"concrete cubes (0.6/0.6/0.6), cubes (1/1/2) and iron bars (1.5-2 length, 0.03 Φ), tubes (0.4 length, 1 Φ)",,"Experimental","Finfish enhancement, Habitat protection, Mariculture","No",,,,,,,"no","no","no","yes","Benthic community, Fish community, Heavy metals, PAH in mussels, Planktonic communities, Sediments, Water column","Progetto per la realizzazione di un’area da destinare allo sviluppo e protezione delle risorse acquatiche in provincia di Chieti prospiciente i Comuni di Ortona e S. Vito Chietino - Monitoraggio delle risorse eco-biologiche ed alieutiche. Relazione finale - anno 2006. 2006. Agenzia Regionale per la Tutela dell’Ambiente - ARTA Abruzzo. Cod. Progetto 02/BA/03/AB ""PROTEZIONE E SVILUPPO DELLE RISORSE ACQUATICHE "" - Progetto per la realizzazione di un area da destinare allo sviluppo e protezione delle risorse acquatiche nella Provincia di Chieti prospiciente il Comune di Ortona e san Vito Chietino. "" Monitoraggio delle risorse alieutiche"". 99 pp
Progetto per la realizzazione di un’area da destinare allo sviluppo e protezione delle risorse acquatiche in provincia di Chieti prospiciente i Comuni di Ortona e S. Vito Chietino - Monitoraggio delle risorse eco-biologiche ed alieutiche. 2° anno di monitoraggio - anno 2007. 2007. Agenzia Regionale per la Tutela dell’Ambiente - ARTA Abruzzo. Cod. Progetto 02/BA/03/AB ""PROTEZIONE E SVILUPPO DELLE RISORSE ACQUATICHE "" - Progetto per la realizzazione di un area da destinare allo sviluppo e protezione delle risorse acquatiche nella Provincia di Chieti prospiciente il Comune di Ortona e san Vito Chietino. "" Monitoraggio delle risorse alieutiche"". 52 pp
Progetto per la realizzazione di un’area da destinare allo sviluppo e protezione delle risorse acquatiche in provincia di Chieti prospiciente i Comuni di Ortona e S. Vito Chietino - Monitoraggio delle risorse eco-biologiche ed alieutiche. 3° anno di monitoraggio - anno 2008. 2008. Agenzia Regionale per la Tutela dell’Ambiente - ARTA Abruzzo. Cod. Progetto 02/BA/03/AB ""PROTEZIONE E SVILUPPO DELLE RISORSE ACQUATICHE "" - Progetto per la realizzazione di un area da destinare allo sviluppo e protezione delle risorse acquatiche nella Provincia di Chieti prospiciente il Comune di Ortona e san Vito Chietino. "" Monitoraggio delle risorse alieutiche"". 44 pp
Progetto per la realizzazione di un’area da destinare allo sviluppo e protezione delle risorse acquatiche in provincia di Chieti prospiciente i Comuni di Ortona e S. Vito Chietino - Monitoraggio delle risorse eco-biologiche ed alieutiche. 4° anno di monitoraggio - anno 2009. 2009. Agenzia Regionale per la Tutela dell’Ambiente - ARTA Abruzzo. Cod. Progetto 02/BA/03/AB ""PROTEZIONE E SVILUPPO DELLE RISORSE ACQUATICHE "" - Progetto per la realizzazione di un area da destinare allo sviluppo e protezione delle risorse acquatiche nella Provincia di Chieti prospiciente il Comune di Ortona e san Vito Chietino. "" Monitoraggio delle risorse alieutiche"". 23 pp
Progetto per la realizzazione di un’area da destinare allo sviluppo e protezione delle risorse acquatiche in provincia di Chieti prospiciente i Comuni di Ortona e S. Vito Chietino - Monitoraggio delle risorse eco-biologiche ed alieutiche. 5° anno di monitoraggio - anno 2010. 2010. Agenzia Regionale per la Tutela dell’Ambiente - ARTA Abruzzo. Cod. Progetto 02/BA/03/AB ""PROTEZIONE E SVILUPPO DELLE RISORSE ACQUATICHE "" - Progetto per la realizzazione di un area da destinare allo sviluppo e protezione delle risorse acquatiche nella Provincia di Chieti prospiciente il Comune di Ortona e san Vito Chietino. "" Monitoraggio delle risorse alieutiche"". 24 pp
Progetto per la realizzazione di un’area da destinare allo sviluppo e protezione delle risorse acquatiche in provincia di Chieti prospiciente i Comuni di Ortona e S. Vito Chietino - Monitoraggio delle risorse eco-biologiche ed alieutiche. 6° anno di monitoraggio - anno 2011. 2011. Agenzia Regionale per la Tutela dell’Ambiente - ARTA Abruzzo. Cod. Progetto 02/BA/03/AB ""PROTEZIONE E SVILUPPO DELLE RISORSE ACQUATICHE "" - Progetto per la realizzazione di un area da destinare allo sviluppo e protezione delle risorse acquatiche nella Provincia di Chieti prospiciente il Comune di Ortona e san Vito Chietino. "" Monitoraggio delle risorse alieutiche"". 24 pp
Progetto per la realizzazione di un’area da destinare allo sviluppo e protezione delle risorse acquatiche in provincia di Chieti prospiciente i Comuni di Ortona e S. Vito Chietino - Monitoraggio delle risorse eco-biologiche ed alieutiche. 7° anno di monitoraggio - anno 2012. 2012. Agenzia Regionale per la Tutela dell’Ambiente - ARTA Abruzzo. Cod. Progetto 02/BA/03/AB ""PROTEZIONE E SVILUPPO DELLE RISORSE ACQUATICHE "" - Progetto per la realizzazione di un area da destinare allo sviluppo e protezione delle risorse acquatiche nella Provincia di Chieti prospiciente il Comune di Ortona e san Vito Chietino. "" Monitoraggio delle risorse alieutiche"". 30 pp"
"Artificial reef","Italy","Friuli Venezia Giulia","Trieste Gulf","5 Trieste Coastal Restocking Areas (Sistiana, Canovella, Filtri, S. Croce, Grignano)",45.736,13.671,2000,2004,"11-13",,0.25,"Sand, Mud","No","Specifically designed modules",,"Concrete, Polyethylene","Geometrically assembled",,,,,,280,"different types, including structures that substend mariculture nets ","in 2000 (52), in 2004 (120)",,,"concrete plinth with tubes, nets","concrete plinth with tubes (70)",,"plinth (h 1.5)",,"Experimental","Finfish enhancement","No","Diving/Snorkeling, Recreational fishery",,,,,,"no","yes","no","yes","Benthic community, Fish community","Le BA esistenti in Friuli Venezia Giulia. Manuale per il monitoraggio delle barriere artificiali sommerse. 2006. INTERREG III A – Transfrontaliero Adriatico. Tavolo blu Adriatico per la gestione sostenibile delle attività di pesca e delle risorse alieutiche dell'Adriatico - ADRIBLU. p: 64-65."
"Artificial reef","Italy","Abruzzo","Casalbordino - Termini","Casalbordino - Termini",42.233333,14.65,2005,,"15-22",,5.55,"Sand","No","Specifically designed modules",,"Concrete, Clay's blocks","Scattered",,5000000,,,,,"tube groups, clay's blocks groups ","tube groups (38), clay's blocks groups (38)",,,"concrete cubes, tripods, tubes , wells, clay blocks.","concrete cubes (19), tripods (261)","between tripods (50)",,,"Experimental","Finfish enhancement, Habitat protection, Mariculture","No",,,,,,,"no","no","no","yes","Benthic community, Fish community, Heavy metals, PAH in mussels, Planktonic communities, Sediments, Water column","Controllo scientifico delle aree sperimentali poste nel mare Adriatico entro le tre miglia lungo la costa teatina in Comune di Vasto - Relazione finale anni 2005-2006. 2006. Agenzia Regionale per la Tutela dell’Ambiente - ARTA Abruzzo. Cod. Progetto 02/BA/02/AB - ""PROTEZIONE E SVILUPPO DELLE RISORSE ACQUATICHE. 74 pp
Progetto per la realizzazione di un’area da destinare allo sviluppo e protezione delle risorse acquatiche in provincia di Chieti prospiciente i Comuni di Vasto e Casalbordino Monitoraggio delle risorse eco-biologiche ed alieutiche. 3° anno di monitoraggio - anno 2007. 2007. Agenzia Regionale per la Tutela dell’Ambiente - ARTA Abruzzo. Cod. Progetto 02/BA/02/AB - ""PROTEZIONE E SVILUPPO DELLE RISORSE ACQUATICHE - Controllo scientifico delle aree sperimentali poste nel mare Adriatico entro le tre miglia lungo la costa teatina in Comune di Vasto."". 45 pp
Progetto per la realizzazione di un’area da destinare allo sviluppo e protezione delle risorse acquatiche in provincia di Chieti prospiciente i Comuni di Vasto e Casalbordino Monitoraggio delle risorse eco-biologiche ed alieutiche. 4° anno di monitoraggio - anno 2008. 2008. Agenzia Regionale per la Tutela dell’Ambiente - ARTA Abruzzo. Cod. Progetto 02/BA/02/AB - ""PROTEZIONE E SVILUPPO DELLE RISORSE ACQUATICHE - - Controllo scientifico delle aree sperimentali poste nel mare Adriatico entro le tre miglia lungo la costa teatina in Comune di Vasto."". 38 pp
Progetto per la realizzazione di un’area da destinare allo sviluppo e protezione delle risorse acquatiche in provincia di Chieti prospiciente i Comuni di Vasto e Casalbordino Monitoraggio delle risorse eco-biologiche ed alieutiche. 5° anno di monitoraggio - anno 2009. 2009. Agenzia Regionale per la Tutela dell’Ambiente - ARTA Abruzzo. Cod. Progetto 02/BA/02/AB - ""PROTEZIONE E SVILUPPO DELLE RISORSE ACQUATICHE - - Controllo scientifico delle aree sperimentali poste nel mare Adriatico entro le tre miglia lungo la costa teatina in Comune di Vasto."". 20 pp
Progetto per la realizzazione di un’area da destinare allo sviluppo e protezione delle risorse acquatiche in provincia di Chieti prospiciente i Comuni di Vasto e Casalbordino Monitoraggio delle risorse eco-biologiche ed alieutiche. 6° anno di monitoraggio - anno 2010. 2010. Agenzia Regionale per la Tutela dell’Ambiente - ARTA Abruzzo. Cod. Progetto 02/BA/02/AB - ""PROTEZIONE E SVILUPPO DELLE RISORSE ACQUATICHE - - Controllo scientifico delle aree sperimentali poste nel mare Adriatico entro le tre miglia lungo la costa teatina in Comune di Vasto."". 21 pp
Progetto per la realizzazione di un’area da destinare allo sviluppo e protezione delle risorse acquatiche in provincia di Chieti prospiciente i Comuni di Vasto e Casalbordino Monitoraggio delle risorse eco-biologiche ed alieutiche. 7° anno di monitoraggio - anno 2011. 2011. Agenzia Regionale per la Tutela dell’Ambiente - ARTA Abruzzo. Cod. Progetto 02/BA/02/AB - ""PROTEZIONE E SVILUPPO DELLE RISORSE ACQUATICHE - - Controllo scientifico delle aree sperimentali poste nel mare Adriatico entro le tre miglia lungo la costa teatina in Comune di Vasto."". 20 pp
Progetto per la realizzazione di un’area da destinare allo sviluppo e protezione delle risorse acquatiche in provincia di Chieti prospiciente i Comuni di Vasto e Casalbordino Monitoraggio delle risorse eco-biologiche ed alieutiche. 8° anno di monitoraggio - anno 2012. 2012. Agenzia Regionale per la Tutela dell’Ambiente - ARTA Abruzzo. Cod. Progetto 02/BA/02/AB - ""PROTEZIONE E SVILUPPO DELLE RISORSE ACQUATICHE - - Controllo scientifico delle aree sperimentali poste nel mare Adriatico entro le tre miglia lungo la costa teatina in Comune di Vasto."". 28 pp"
"Artificial reef","Italy","Emilia Romagna","Riccione","Riccione Sud",43.994,12.683,2016,"2017-2018 
(2016-17-18 reef balls, 2017-18 wmesh)","2-3.5",,"0.1-0.35","Sand","No","Specifically designed modules",,"Concrete","Geometrically assembled",,,"62
Reef balls: 13 (13 modules x 1) + wmesh: 49 (3 modules x 16.36)","reef balls oasis (2), wmesh oasi (1)","150 between reef balls oasis ","reef balls near coast (28), reef balls at sea (1232), area a wmesh (1242)",,,,,"reef ball, wmesh","reef balls (13), wmesh (3)","between wmesh (0), between reef balls on land side (3)","reef ball (Φ 1.83, h 1.52), wmesh (6/3/2.97)",,"Experimental","Finfish enhancement, Habitat protection","No","Diving/Snorkeling",,,,,,"no","yes","no","Associazione Blennius","Geophysical map",
